age,Ethiopia,Kenya,Mozambique,Uganda,Zambia,Zimbabwe,Cameroon,DRC,South Africa,Ivory Coast,Ghana,Guinea,Liberia,Nigeria,Senegal,Egypt,Sudan,Tunisia
0,3358,1409,1031,1559,589,419,823,3165,1153,826,834,420,148,6788,523,2539,1268,201
1,3358,1409,1031,1559,589,419,823,3165,1153,826,834,420,148,6788,523,2539,1268,201
2,3358,1409,1031,1559,589,419,823,3165,1153,826,834,420,148,6788,523,2539,1268,201
3,3358,1409,1031,1559,589,419,823,3165,1153,826,834,420,148,6788,523,2539,1268,201
4,3358,1409,1031,1559,589,419,823,3165,1153,826,834,420,148,6788,523,2539,1268,201
5,3049,1394,912,1412,543,442,746,2732,1164,724,778,373,136,5983,483,2466,1158,203
6,3049,1394,912,1412,543,442,746,2732,1164,724,778,373,136,5983,483,2466,1158,203
7,3049,1394,912,1412,543,442,746,2732,1164,724,778,373,136,5983,483,2466,1158,203
8,3049,1394,912,1412,543,442,746,2732,1164,724,778,373,136,5983,483,2466,1158,203
9,3049,1394,912,1412,543,442,746,2732,1164,724,778,373,136,5983,483,2466,1158,203
10,2771,1347,811,1238,486,384,664,2306,1099,640,696,338,125,5159,420,1937,1065,171
11,2771,1347,811,1238,486,384,664,2306,1099,640,696,338,125,5159,420,1937,1065,171
12,2771,1347,811,1238,486,384,664,2306,1099,640,696,338,125,5159,420,1937,1065,171
13,2771,1347,811,1238,486,384,664,2306,1099,640,696,338,125,5159,420,1937,1065,171
14,2771,1347,811,1238,486,384,664,2306,1099,640,696,338,125,5159,420,1937,1065,171
15,2595,1202,708,1051,424,328,571,1895,983,581,627,302,110,4382,353,1740,960,157
16,2595,1202,708,1051,424,328,571,1895,983,581,627,302,110,4382,353,1740,960,157
17,2595,1202,708,1051,424,328,571,1895,983,581,627,302,110,4382,353,1740,960,157
18,2595,1202,708,1051,424,328,571,1895,983,581,627,302,110,4382,353,1740,960,157
19,2595,1202,708,1051,424,328,571,1895,983,581,627,302,110,4382,353,1740,960,157
20,2349,1047,583,866,349,276,484,1546,985,508,572,261,93,3614,304,1683,832,164
21,2349,1047,583,866,349,276,484,1546,985,508,572,261,93,3614,304,1683,832,164
22,2349,1047,583,866,349,276,484,1546,985,508,572,261,93,3614,304,1683,832,164
23,2349,1047,583,866,349,276,484,1546,985,508,572,261,93,3614,304,1683,832,164
24,2349,1047,583,866,349,276,484,1546,985,508,572,261,93,3614,304,1683,832,164
25,1938,872,476,709,287,221,426,1288,1043,425,508,212,76,3022,261,1619,694,181
26,1938,872,476,709,287,221,426,1288,1043,425,508,212,76,3022,261,1619,694,181
27,1938,872,476,709,287,221,426,1288,1043,425,508,212,76,3022,261,1619,694,181
28,1938,872,476,709,287,221,426,1288,1043,425,508,212,76,3022,261,1619,694,181
29,1938,872,476,709,287,221,426,1288,1043,425,508,212,76,3022,261,1619,694,181
30,1504,805,392,570,239,199,372,1068,1075,348,453,166,67,2609,222,1613,560,186
31,1504,805,392,570,239,199,372,1068,1075,348,453,166,67,2609,222,1613,560,186
32,1504,805,392,570,239,199,372,1068,1075,348,453,166,67,2609,222,1613,560,186
33,1504,805,392,570,239,199,372,1068,1075,348,453,166,67,2609,222,1613,560,186
34,1504,805,392,570,239,199,372,1068,1075,348,453,166,67,2609,222,1613,560,186
35,1255,689,325,451,198,175,308,884,956,286,385,128,59,2265,188,1427,481,197
36,1255,689,325,451,198,175,308,884,956,286,385,128,59,2265,188,1427,481,197
