Country,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Ethiopia,16791.00,15246.00,13853.00,12976.00,11747.00,9692.00,7519.00,6274.00,4934.00,4105.00,3229.00,2475.00,2056.00,1568.00,1188.00,741.00,372.00,152.00,39.00,5.00,0.00
Kenya,7044.00,6970.00,6736.00,6011.00,5237.00,4358.00,4023.00,3447.00,2759.00,2144.00,1604.00,1202.00,888.00,631.00,381.00,193.00,102.00,36.00,6.00,0.00,0.00
Mozambique,5157.00,4561.00,4054.00,3541.00,2913.00,2382.00,1962.00,1627.00,1288.00,1002.00,783.00,618.00,475.00,369.00,262.00,159.00,77.00,24.00,4.00,0.00,0.00
Uganda,7796.00,7060.00,6192.00,5257.00,4328.00,3544.00,2849.00,2253.00,1765.00,1368.00,1066.00,787.00,568.00,407.00,261.00,151.00,64.00,22.00,3.00,0.00,0.00
Zambia,2946.00,2717.00,2429.00,2122.00,1747.00,1433.00,1193.00,992.00,808.00,606.00,434.00,328.00,238.00,166.00,113.00,67.00,33.00,11.00,2.00,0.00,0.00
Zimbabwe,2097.00,2211.00,1921.00,1639.00,1378.00,1105.00,995.00,873.00,738.00,520.00,389.00,309.00,240.00,185.00,115.00,86.00,44.00,15.00,3.00,0.00,0.00
Cameroon,4116.00,3730.00,3320.00,2856.00,2420.00,2132.00,1861.00,1539.00,1203.00,939.00,729.00,559.00,420.00,313.00,210.00,123.00,57.00,16.00,2.00,0.00,0.00
DRC,15827.00,13660.00,11528.00,9473.00,7730.00,6440.00,5341.00,4421.00,3629.00,2976.00,2422.00,1925.00,1486.00,1099.00,789.00,480.00,233.00,82.00,19.00,2.00,0.00
South Africa,5765.00,5821.00,5496.00,4913.00,4924.00,5217.00,5374.00,4781.00,3810.00,3233.00,2692.00,2219.00,1795.00,1370.00,895.00,581.00,298.00,104.00,18.00,1.00,0.00
Ivory Coast,4131.00,3619.00,3199.00,2906.00,2538.00,2123.00,1741.00,1431.00,1185.00,932.00,739.00,599.00,475.00,347.00,215.00,127.00,55.00,14.00,2.00,0.00,0.00
Ghana,4169.00,3888.00,3480.00,3137.00,2860.00,2538.00,2266.00,1924.00,1626.00,1405.00,1189.00,946.00,667.00,424.00,298.00,158.00,70.00,21.00,4.00,0.00,0.00
Guinea,2100.00,1866.00,1688.00,1512.00,1305.00,1061.00,828.00,642.00,500.00,398.00,333.00,282.00,230.00,178.00,106.00,65.00,29.00,8.00,1.00,0.00,0.00
Liberia,740.00,678.00,623.00,552.00,463.00,378.00,334.00,296.00,245.00,199.00,158.00,126.00,97.00,71.00,45.00,31.00,15.00,5.00,1.00,0.00,0.00
Nigeria,33939.00,29914.00,25793.00,21910.00,18069.00,15109.00,13045.00,11324.00,9459.00,7579.00,5943.00,4757.00,3657.00,2602.00,1717.00,907.00,333.00,75.00,9.00,1.00,0.00
Senegal,2615.00,2417.00,2099.00,1765.00,1519.00,1304.00,1111.00,941.00,742.00,590.00,467.00,367.00,286.00,220.00,146.00,94.00,45.00,14.00,2.00,0.00,0.00
Egypt,12697.00,12331.00,9684.00,8701.00,8417.00,8095.00,8065.00,7133.00,6041.00,4908.00,4213.00,3632.00,2961.00,2161.00,1666.00,865.00,484.00,210.00,59.00,10.00,1.00
Sudan,6339.00,5790.00,5323.00,4801.00,4159.00,3468.00,2799.00,2404.00,2027.00,1700.00,1425.00,1128.00,875.00,661.00,455.00,278.00,143.00,56.00,15.00,3.00,0.00
Tunisia,1004.00,1014.00,853.00,787.00,821.00,904.00,928.00,986.00,847.00,726.00,711.00,650.00,539.00,424.00,250.00,174.00,120.00,62.00,16.00,3.00,0.00
